config,workload,case,name,case_label,shape,case_key,status,cpu_cycles,hw_cycles,speedup,speedup_x100,mismatches,source
4x4,attention-benchmark,10,attention_q8_kv32_d16_v64_rng,Q8 KV32 D16 V64,q=8 kv=32 d=16 value=64 causal=0,q=8 kv=32 d=16 value=64 causal=0,PASS,7142682,127740,55.9157820573039,5592,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,11,attention_q32_kv8_d64_v16_rng,Q32 KV8 D64 V16,q=32 kv=8 d=64 value=16 causal=0,q=32 kv=8 d=64 value=16 causal=0,PASS,4562816,92372,49.396094054475384,4940,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,12,attention_q16_kv128_d32_v8_rng,Q16 KV128 D32 V8,q=16 kv=128 d=32 value=8 causal=0,q=16 kv=128 d=32 value=8 causal=0,PASS,12433620,204166,60.89956212101917,6090,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,13,attention_q64_kv16_d8_v128_rng,Q64 KV16 D8 V128,q=64 kv=16 d=8 value=128 causal=0,q=64 kv=16 d=8 value=128 causal=0,PASS,43541959,714532,60.93773127025801,6094,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,14,attention_q128_kv64_d16_v32_rng,Q128 KV64 D16 V32,q=128 kv=64 d=16 value=32 causal=0,q=128 kv=64 d=16 value=32 causal=0,PASS,116900108,2017378,57.94655637168642,5795,0,software/uartlog/atik_4x4/attn.txt
4x4,attention-benchmark,15,attention_q32_kv128_d128_v64_rng,Q32 KV128 D128 V64,q=32 kv=128 d=128 value=64 causal=0,q=32 kv=128 d=128 value=64 causal=0,PASS,481497917,10785867,44.641558902960696,4464,0,software/uartlog/atik_4x4/attn.txt
4x4,vit,0,vit_l1_img32_p4_d64_h4_mlp128_cls10,S65 D64 H4 C10,seq=65 patches=64 patch_dim=48 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 classes=10,seq=65 patches=64 patch_dim=48 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 classes=10,PASS,168136584,9924286,16.941932548094645,1694,0,software/uartlog/atik_4x4/vit.txt
4x4,vit,1,vit_l1_img64_p8_gray_d128_h4_mlp128_cls10,S65 D128 H4 C10,seq=65 patches=64 patch_dim=64 d_model=128 heads=4 head_dim=32 hidden=128 layers=1 classes=10,seq=65 patches=64 patch_dim=64 d_model=128 heads=4 head_dim=32 hidden=128 layers=1 classes=10,PASS,472465075,24173139,19.54504439824716,1955,0,software/uartlog/atik_4x4/vit.txt
4x4,vit,2,vit_l1_grid11_p_synth_d128_h4_mlp256_cls10,S122 D128 H4 C10,seq=122 patches=121 patch_dim=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 classes=10,seq=122 patches=121 patch_dim=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 classes=10,PASS,1650931586,66229179,24.927556266400344,2493,0,software/uartlog/atik_4x4/vit.txt
4x4,tiny-bert,0,tinybert_l1_s64_d128_h4_ff256_cls2,S32 D64 H4 C2,seq=32 d_model=64 heads=4 head_dim=16 hidden=256 layers=1 vocab=512 classes=2,seq=32 d_model=64 heads=4 head_dim=16 hidden=256 layers=1 vocab=512 classes=2,PASS,60361490,5755476,10.487662532169363,1049,0,software/uartlog/atik_4x4/bert.txt
